Time [s];	Voltage [V];	Current [A]
+3.1399999999999999E+01;	+4.0524493736165121E+00;	+1.0001973898207284E+00
+3.1600000000000001E+01;	+4.0527474102632626E+00;	+1.0001975881638776E+00
+3.1800000000000001E+01;	+4.0530351218562926E+00;	+1.0002008112400531E+00
+3.2000000000000000E+01;	+4.0532968222563035E+00;	+1.0002002162106054E+00
+3.2200000000000003E+01;	+4.0535611039197441E+00;	+1.0002032905294189E+00
+3.2399999999999999E+01;	+4.0538061253868252E+00;	+1.0002032409436314E+00
+3.2600000000000001E+01;	+4.0540416160350903E+00;	+1.0002050756177623E+00
+3.2799999999999997E+01;	+4.0542622147789524E+00;	+1.0002044310025271E+00
+3.3000000000000000E+01;	+4.0544859904624220E+00;	+1.0002056706472102E+00
+3.3200000000000003E+01;	+4.0547004338857997E+00;	+1.0002074557355531E+00
+3.3399999999999999E+01;	+4.0549073320776126E+00;	+1.0002077036644901E+00
+3.3600000000000001E+01;	+4.0551092663012938E+00;	+1.0002085962086615E+00
+3.3799999999999997E+01;	+4.0553084207028194E+00;	+1.0002068111203182E+00
+3.4000000000000000E+01;	+4.0555026111362116E+00;	+1.0002090424807475E+00
+3.4200000000000003E+01;	+4.0556938231887232E+00;	+1.0002071086350421E+00
+3.4399999999999999E+01;	+4.0558749087462411E+00;	+1.0002080011792138E+00
+3.4600000000000001E+01;	+4.0560597669195415E+00;	+1.0002075053213406E+00
+3.4799999999999997E+01;	+4.0562275490424620E+00;	+1.0002071086350421E+00
+3.5000000000000000E+01;	+4.0564149884791920E+00;	+1.0002098358533444E+00
+3.5200000000000003E+01;	+4.0565756224880003E+00;	+1.0002078524218518E+00
+3.5399999999999999E+01;	+4.0567412204649411E+00;	+1.0002055714756353E+00
+3.5600000000000001E+01;	+4.0569135694385450E+00;	+1.0002057698187847E+00
+3.5799999999999997E+01;	+4.0570817486789155E+00;	+1.0002087945518108E+00
+3.6000000000000000E+01;	+4.0572360288085125E+00;	+1.0002052243751243E+00
+3.6200000000000003E+01;	+4.0573913017317365E+00;	+1.0002033897009934E+00
+3.6399999999999999E+01;	+4.0575543184452476E+00;	+1.0002063648482324E+00
+3.6600000000000001E+01;	+4.0577078043399428E+00;	+1.0002041334878031E+00
+3.6799999999999997E+01;	+4.0578682397900252E+00;	+1.0002050756177623E+00
+3.7000000000000000E+01;	+4.0580219242434454E+00;	+1.0002052739609117E+00
+3.7200000000000003E+01;	+4.0581716375223600E+00;	+1.0002077036644899E+00
+3.7399999999999999E+01;	+4.0583169825093153E+00;	+1.0002059185761467E+00
+3.7600000000000001E+01;	+4.0584672914644040E+00;	+1.0002061169192957E+00
+3.7799999999999997E+01;	+4.0586122393339101E+00;	+1.0002070094634676E+00
+3.8000000000000000E+01;	+4.0587524217940070E+00;	+1.0002058194045722E+00
+3.8200000000000003E+01;	+4.0588908172255751E+00;	+1.0002051747893370E+00
+3.8399999999999999E+01;	+4.0590333823903757E+00;	+1.0002049764461878E+00
+3.8600000000000001E+01;	+4.0591769403488041E+00;	+1.0002082986939378E+00
+3.8799999999999997E+01;	+4.0593107689296897E+00;	+1.0002066127771689E+00
+3.9000000000000000E+01;	+4.0594469802152791E+00;	+1.0002068111203182E+00
+3.9200000000000003E+01;	+4.0595889497039037E+00;	+1.0002072078066169E+00
+3.9399999999999999E+01;	+4.0597184099928327E+00;	+1.0002077036644901E+00
+3.9600000000000001E+01;	+4.0598444947834285E+00;	+1.0002075053213406E+00
+3.9799999999999997E+01;	+4.0599832873324475E+00;	+1.0002073069781916E+00
+4.0000000000000000E+01;	+4.0601131447388275E+00;	+1.0002086953802365E+00
+4.0200000000000003E+01;	+4.0602414136754028E+00;	+1.0002078524218518E+00
+4.0399999999999999E+01;	+4.0603621373804151E+00;	+1.0002060177477212E+00
+4.0600000000000001E+01;	+4.0604941789327720E+00;	+1.0002077532502771E+00
+4.0799999999999997E+01;	+4.0606192709297426E+00;	+1.0002058194045718E+00
+4.1000000000000000E+01;	+4.0607525038344523E+00;	+1.0002086457944488E+00
+4.1200000000000003E+01;	+4.0608692563649580E+00;	+1.0002060673335085E+00
+4.1399999999999999E+01;	+4.0609997094475121E+00;	+1.0002074061497659E+00
+4.1600000000000001E+01;	+4.0611186461239965E+00;	+1.0002073069781912E+00
+4.1799999999999997E+01;	+4.0612348029783263E+00;	+1.0002054227182735E+00
+4.2000000000000000E+01;	+4.0613650575021554E+00;	+1.0002098854391319E+00
+4.2200000000000003E+01;	+4.0614841927373657E+00;	+1.0002069102918929E+00
+4.2399999999999999E+01;	+4.0615961798584612E+00;	+1.0002064640198070E+00
+4.2600000000000001E+01;	+4.0617167050047494E+00;	+1.0002066623629564E+00
+4.2799999999999997E+01;	+4.0618320676241773E+00;	+1.0002076540787026E+00
+4.3000000000000000E+01;	+4.0619500115070348E+00;	+1.0002085962086615E+00
+4.3200000000000003E+01;	+4.0620574317774487E+00;	+1.0002063648482322E+00
+4.3399999999999999E+01;	+4.0621727943968766E+00;	+1.0002072078066169E+00
+4.3600000000000001E+01;	+4.0622845829592489E+00;	+1.0002057698187847E+00
+4.3799999999999997E+01;	+4.0624021297246555E+00;	+1.0002067119487439E+00
+4.4000000000000000E+01;	+4.0625210664011400E+00;	+1.0002092408238970E+00
+4.4200000000000003E+01;	+4.0626330535222372E+00;	+1.0002080507650011E+00
+4.4399999999999999E+01;	+4.0627365026181446E+00;	+1.0002102325396429E+00
+4.4599999999999994E+01;	+4.0628469012694381E+00;	+1.0002086953802363E+00
+4.4799999999999997E+01;	+4.0629576970381835E+00;	+1.0002080507650013E+00
+4.5000000000000000E+01;	+4.0630629331626187E+00;	+1.0002090920665347E+00
+4.5200000000000003E+01;	+4.0631643966712723E+00;	+1.0002072573924041E+00
+4.5399999999999999E+01;	+4.0632724126178630E+00;	+1.0002072078066166E+00
+4.5600000000000001E+01;	+4.0633915478530724E+00;	+1.0002103812970049E+00
+4.5799999999999997E+01;	+4.0634955926251557E+00;	+1.0002100341964937E+00
