Time [s];	Voltage [V];	Current [A]
+3.7200000000000003E+01;	+3.9858253248814646E+00;	+1.1204115404605587E-01
+3.7399999999999999E+01;	+3.9858241335291136E+00;	+1.1177081233361574E-01
+3.7600000000000001E+01;	+3.9858261191163664E+00;	+1.1152923037781814E-01
+3.7799999999999997E+01;	+3.9858314802019508E+00;	+1.1123503790167960E-01
+3.8000000000000000E+01;	+3.9858314802019508E+00;	+1.1106094220241743E-01
+3.8200000000000003E+01;	+3.9858267147925424E+00;	+1.1077190664815963E-01
+3.8399999999999999E+01;	+3.9858358484939092E+00;	+1.1059756301996086E-01
+3.8600000000000001E+01;	+3.9858324729955776E+00;	+1.1034655976457348E-01
+3.8799999999999997E+01;	+3.9858290974972466E+00;	+1.1009352349190620E-01
+3.9000000000000000E+01;	+3.9858294946146970E+00;	+1.0988238720951991E-01
+3.9200000000000003E+01;	+3.9858219493831339E+00;	+1.0964903649441658E-01
+3.9399999999999999E+01;	+3.9858251263227396E+00;	+1.0945639571069869E-01
+3.9600000000000001E+01;	+3.9858312816432253E+00;	+1.0922760688802831E-01
+3.9799999999999997E+01;	+3.9858338629066554E+00;	+1.0901909865236969E-01
+4.0000000000000000E+01;	+3.9858356499351832E+00;	+1.0878723551088580E-01
+4.0200000000000003E+01;	+3.9858354513764578E+00;	+1.0859900786223892E-01
+4.0399999999999999E+01;	+3.9858269133512678E+00;	+1.0832469928681360E-01
+4.0600000000000001E+01;	+3.9858175810911760E+00;	+1.0812194300248350E-01
+4.0799999999999997E+01;	+3.9858223465005849E+00;	+1.0796753286078530E-01
+4.1000000000000000E+01;	+3.9858227436180358E+00;	+1.0774801658034276E-01
+4.1200000000000003E+01;	+3.9858259205576414E+00;	+1.0754268183507230E-01
+4.1399999999999999E+01;	+3.9858251263227396E+00;	+1.0732138046628646E-01
+4.1600000000000001E+01;	+3.9858267147925424E+00;	+1.0714961529902810E-01
+4.1799999999999997E+01;	+3.9858237364116627E+00;	+1.0691547121132776E-01
+4.2000000000000000E+01;	+3.9858300902908739E+00;	+1.0679234970142515E-01
+4.2200000000000003E+01;	+3.9858277075861692E+00;	+1.0654625543898194E-01
+4.2399999999999999E+01;	+3.9858314802019508E+00;	+1.0637389524227579E-01
+4.2600000000000001E+01;	+3.9858237364116622E+00;	+1.0611555329036582E-01
+4.2799999999999997E+01;	+3.9858314802019508E+00;	+1.0605168679630439E-01
+4.3000000000000000E+01;	+3.9858380326398879E+00;	+1.0587645062393397E-01
+4.3200000000000003E+01;	+3.9858308845257753E+00;	+1.0564751304390167E-01
+4.3399999999999999E+01;	+3.9858263176750923E+00;	+1.0541683996131335E-01
+4.3600000000000001E+01;	+3.9858344585828309E+00;	+1.0529733821388475E-01
+4.3799999999999997E+01;	+3.9858306859670498E+00;	+1.0507990453650945E-01
+4.4000000000000000E+01;	+3.9858269133512678E+00;	+1.0488706540964231E-01
+4.4200000000000003E+01;	+3.9858271119099933E+00;	+1.0474619218788105E-01
+4.4399999999999999E+01;	+3.9858231407354867E+00;	+1.0457373281960025E-01
+4.4599999999999994E+01;	+3.9858255234401905E+00;	+1.0435848091686682E-01
+4.4799999999999997E+01;	+3.9858221479418598E+00;	+1.0415488167415236E-01
+4.5000000000000000E+01;	+3.9858243320878386E+00;	+1.0403498324042525E-01
+4.5200000000000003E+01;	+3.9858239349703872E+00;	+1.0387496990476046E-01
+4.5399999999999999E+01;	+3.9858173825324510E+00;	+1.0367900687329246E-01
+4.5600000000000001E+01;	+3.9858290974972466E+00;	+1.0356535624876700E-01
+4.5799999999999997E+01;	+3.9858279061448947E+00;	+1.0339562409878855E-01
+4.6000000000000000E+01;	+3.9858255234401905E+00;	+1.0317977716660733E-01
+4.6200000000000003E+01;	+3.9858320758781267E+00;	+1.0306890334617148E-01
+4.6399999999999999E+01;	+3.9858263176750923E+00;	+1.0290740243688727E-01
+4.6600000000000001E+01;	+3.9858273104687183E+00;	+1.0272601762688982E-01
+4.6799999999999997E+01;	+3.9858314802019508E+00;	+1.0262967244213723E-01
+4.7000000000000000E+01;	+3.9858203609133316E+00;	+1.0231916624197213E-01
+4.7200000000000003E+01;	+3.9858269133512683E+00;	+1.0227944802633297E-01
+4.7399999999999999E+01;	+3.9858336643479295E+00;	+1.0208636097052927E-01
+4.7599999999999994E+01;	+3.9858318773194008E+00;	+1.0194038041267457E-01
+4.7799999999999997E+01;	+3.9858269133512678E+00;	+1.0181701097383540E-01
+4.8000000000000000E+01;	+3.9858298917321484E+00;	+1.0163969219839776E-01
+4.8200000000000003E+01;	+3.9858263176750923E+00;	+1.0152559530178647E-01
+4.8399999999999999E+01;	+3.9858326715543035E+00;	+1.0140361426499216E-01
+4.8600000000000001E+01;	+3.9858390254335148E+00;	+1.0124022909578995E-01
+4.8799999999999997E+01;	+3.9858312816432258E+00;	+1.0104436523589660E-01
+4.9000000000000000E+01;	+3.9858416066969435E+00;	+1.0098982086985037E-01
+4.9200000000000003E+01;	+3.9858348557002823E+00;	+1.0077089961885562E-01
+4.9399999999999999E+01;	+3.9858294946146979E+00;	+1.0067237265946116E-01
+4.9600000000000001E+01;	+3.9858279061448947E+00;	+1.0050075624956474E-01
+4.9799999999999997E+01;	+3.9858338629066559E+00;	+1.0040917130039435E-01
+5.0000000000000000E+01;	+3.9858402167858666E+00;	+1.0026195109785679E-01
+5.0200000000000003E+01;	+3.9858378340811620E+00;	+1.0009554119562841E-01
+5.0399999999999999E+01;	+3.9858346571415564E+00;	+9.9967411521207042E-02
+5.0599999999999994E+01;	+3.9858364441700846E+00;	+9.9875479471525461E-02
+5.0799999999999997E+01;	+3.9858358484939083E+00;	+9.9747250625529457E-02
+5.1000000000000000E+01;	+3.9858281047036201E+00;	+9.9527040144064549E-02
+5.1200000000000003E+01;	+3.9858288989385211E+00;	+9.9405307036206758E-02
+5.1399999999999999E+01;	+3.9858338629066554E+00;	+9.9286201975076691E-02
+5.1600000000000001E+01;	+3.9858316787606767E+00;	+9.9197046729484720E-02
+5.1799999999999997E+01;	+3.9858404153445921E+00;	+9.9063660961607972E-02
+5.2000000000000000E+01;	+3.9858348557002823E+00;	+9.8855747755397141E-02
+5.2200000000000003E+01;	+3.9858418052556690E+00;	+9.8773435348454605E-02
+5.2399999999999999E+01;	+3.9858447836365491E+00;	+9.8723750389565226E-02
+5.2600000000000001E+01;	+3.9858352528177323E+00;	+9.8527539429160663E-02
+5.2799999999999997E+01;	+3.9858354513764578E+00;	+9.8390186798298737E-02
